Artist,Date,Song
Chris Bell,2015-07-05 02:00:00,Look Up
Citizen Cope,2015-07-05 01:56:00,Hurricane Waters
Indigo Girls,2015-07-05 01:53:00,Happy In The Sorrow Key
Los Lobos,2015-07-05 01:49:00,Dream in Blue
Fishbone,2015-07-05 01:46:00,Skankin' To The Beat
Best Coast,2015-07-05 01:43:00,Feeling OK
Nick Drake,2015-07-05 01:39:00,Northern Sky
The Raconteurs,2015-07-05 01:35:00,Top Yourself
Marian Hill,2015-07-05 01:31:00,One Time
Joe Strummer and the Mescale,2015-07-05 01:27:00,Johnny Appleseed
Joan Osborne,2015-07-05 01:23:00,Thirsty For My Tears
My Morning Jacket,2015-07-05 01:19:00,Compound Fracture
Richard Thompson,2015-07-05 01:14:00,Good Things Happen to Bad Pe
Beck,2015-07-05 01:09:00,Dreams
Haircut One Hundred,2015-07-05 01:06:00,Love Plus One
Ben Folds and Regina Spektor,2015-07-05 01:02:00,You Don't Know Me
Warren Haynes,2015-07-05 00:58:00, Spots Of Time (ft. Railroad
Josh Norek,2015-07-04 23:59:00, The Latin Alternative
2 Minute Film Noir,2015-07-04 23:58:00, Even Rattlesnakes Get the Bl
2 Minute Film Noir,2015-07-04 23:57:00,"""2 Minute Film Noir"" Intro"
Scott Mullins,2015-07-04 21:00:00,The Dirty Soul Party
Jackie Payne,2015-07-04 20:54:00,Six Million Dollar Man
Victor Wainwright & The Wildroots,2015-07-04 20:51:00,"If It Ain't Got Soul, Pt.1"
Little Richard,2015-07-04 20:46:00,Freedom Blues
Daddy Mack Blues Band,2015-07-04 20:43:00,"Red, White, Blue & Green"
Syl Johnson,2015-07-04 20:41:00,Take Me To The River
Brad Abshire & Swamp Royale,2015-07-04 20:36:00,Same Love
Bill Withers,2015-07-04 20:32:00,Who Is He (And What Is He To You?)
James Brown,2015-07-04 20:26:00,Living In America
Chuck Berry,2015-07-04 20:23:00,Back In The USA
John Nemeth,2015-07-04 20:18:00,I Can't Help Myself
James Cotton (w/Delbert McClinton),2015-07-04 20:15:00,Hard Sometimes
Ronnie Earl & The Broadcasters,2015-07-04 20:10:00,All Your Love
Guitar Shorty,2015-07-04 20:01:00,We The People
Jimmy Carpenter,2015-07-04 19:56:00,Walk Away
Mike Zito & The Wheel,2015-07-04 19:52:00,Don't Think Cause Your Pretty
Sugar Ray & The Bluetones,2015-07-04 19:47:00,Rat Trap
B.B. King,2015-07-04 19:38:00,Why I Sing The Blues
Jarekus Singleton,2015-07-04 19:31:00,High Minded
Mr. Sipp,2015-07-04 19:26:00,Jackpot
Georgie Bonds,2015-07-04 19:24:00,Going Shopping
Taj Mahal & The Phantom Blues Band,2015-07-04 19:18:00,Lonely Avenue
Nikki Hill,2015-07-04 19:14:00,Right On The Brink
Otis Clay & Billy Price,2015-07-04 19:12:00,Going to the Shack
Bey-Paule Band,2015-07-04 19:06:00,Kiss Me Like You Mean It
Zac Harmon,2015-07-04 19:02:00,Miss American Girl
The Blasters,2015-07-04 18:59:00,American Music
Marcia Ball,2015-07-04 18:55:00,Like There's No Tomorrow
Brandon Santini,2015-07-04 18:47:00,This Time Another Year
John Nemeth,2015-07-04 18:43:00,Bad Luck Is My Name
Slam Allen,2015-07-04 18:41:00,The Blues Is Back
James Cotton,2015-07-04 18:36:00,He Was There
Jimi Hendrix,2015-07-04 18:29:00,Freedom
Coco Montoya,2015-07-04 18:26:00,"Monkey See, Monkey Do"
Terry Hanck,2015-07-04 18:20:00,Right Now Is The Hour
Ronnie Earl & The Broadcasters,2015-07-04 18:16:00,Higher Love
Gary Clark Jr.,2015-07-04 18:07:00,Don't Owe You A Thing
Gary Clark Jr.,2015-07-04 18:06:00,Blak and Blu
with Bob Sekinger,2015-07-04 18:01:00,The Roadhouse
Tame Impala,2015-07-04 17:55:00,Eventually
Noel Gallagher's High Flying Birds,2015-07-04 17:41:00,Ballad of the Mighty I
Super City,2015-07-04 17:37:00,The Weekend
Foals,2015-07-04 17:29:00,What Went Down
Diamond Youth,2015-07-04 17:27:00,Thought I Had It Right
Kathryn Calder,2015-07-04 17:22:00,Take A Little Time
Torres,2015-07-04 17:16:00,Strange Hellos
Tobias Jesso Jr.,2015-07-04 17:13:00,How Could You Babe
Unknown Mortal Orchestra,2015-07-04 17:09:00,Multi-Love
Jamie XX,2015-07-04 17:02:00,Loud Placed (feat. Romy)
Haelos,2015-07-04 16:58:00,Earth Not Above
Hiatus Kaiyote,2015-07-04 16:53:00,Breathing Underwater
Johanna Warren,2015-07-04 16:50:00,Black Moss
The Districts,2015-07-04 16:41:00,Hounds
Speedy Ortiz,2015-07-04 16:38:00,Raising The Skate
Talk In Tongues,2015-07-04 16:32:00,Still Don't Seem To Care
This Is The Kit,2015-07-04 16:29:00,Silver John
Toro y Moi,2015-07-04 16:26:00,Buffalo
Son Lux,2015-07-04 16:19:00,You Don't Know Me
Aero Flynn,2015-07-04 16:14:00,Dk/Pi
Lower Dens,2015-07-04 16:10:00,To Die In LA
Reptar,2015-07-04 16:04:00,Cable
The Dodos,2015-07-04 16:01:00,Competition
JEFF the Brotherhood,2015-07-04 15:57:00,Black Cherry Pie
Courtney Barnett,2015-07-04 15:53:00,Pedestrian At Best
Warpaint,2015-07-04 15:48:00,I'll Start Believing
Tunde Adebimpe,2015-07-04 15:44:00,Speedline Miracle Masterpiece (feat. Sal P & Sinkane)
Mark Ronson,2015-07-04 15:39:00,Daffodils (feat. Kevin Parker)
The Bright Light Social Hour,2015-07-04 15:32:00,Dreamlove
Portico,2015-07-04 15:27:00,101 (feat. Joe Newman)
Purity Ring,2015-07-04 15:24:00,Push Pull
Howard,2015-07-04 15:20:00,Money Can't Buy
Rose Windows,2015-07-04 15:15:00,"Glory, Glory"
Django Django,2015-07-04 15:10:00,Shake and Tremble
Mikal Cronin,2015-07-04 15:07:00,ii) Gold
Father John Misty,2015-07-04 15:01:00,"I Love You, Honeybear"
"Yes, THAT Weasel!",2015-07-04 11:58:00, Weasel's Wild Weekend
The Fabulous Thunderbirds,2015-07-04 11:55:00, One's Too Many
Ryley Walker,2015-07-04 11:50:00, Summer Dress
Spottiswoode And His Enemies,2015-07-04 11:46:00, No Time For Love
James Maddock,2015-07-04 11:40:00, Driving Around
The Cure,2015-07-04 11:36:00, Close to Me
Marian Hill,2015-07-04 11:32:00, One Time
Bruce Cockburn,2015-07-04 11:27:00, Wondering Where the Lions Ar
Big Head Todd and the Monste,2015-07-04 11:23:00, Imaginary Ships
Laura Marling,2015-07-04 11:20:00, False Hope
Van Morrison,2015-07-04 11:17:00, Into the Mystic
Robert Francis,2015-07-04 11:12:00, Love Is A Chemical
Justin Jones,2015-07-04 11:07:00, Little Fox
Holly Miranda,2015-07-04 11:04:00, All I Want Is To Be Your Gir
Midlake,2015-07-04 10:57:00, Head Home
Paul Thorn,2015-07-04 10:54:00, Hammer + Nail
The Cocteau Twins,2015-07-04 10:51:00, Carolyn's Fingers
Seinabo Sey,2015-07-04 10:48:00, Hard Time
The Reverend Peyton's Big Da,2015-07-04 10:43:00, Let's Jump A Train
7Horse,2015-07-04 10:39:00, Meth Lab Zoso Sticker
The Barr Brothers,2015-07-04 10:35:00, Half Crazy
Kaiser Chiefs,2015-07-04 10:30:00, Falling Awake
Mark Knopfler/Dire Straits,2015-07-04 10:24:00, Coyote
Sarah Harmer,2015-07-04 10:22:00, Captive
Bob Schneider,2015-07-04 10:19:00, The Stars Over Your House
Toro Y Moi,2015-07-04 10:14:00, Empty Nesters
Alabama Shakes,2015-07-04 10:11:00, Future People
NRBQ,2015-07-04 10:08:00, It's A Wild Weekend
Nirvana,2015-07-04 10:05:00, Lake of Fire
Meat Puppets,2015-07-04 10:03:00, Lake Of Fire
The Smiths,2015-07-04 10:00:00, London
These United States,2015-07-04 09:58:00,Everything Touches Everythin
Paul Westerberg,2015-07-04 09:54:00,High Time
Turbo Fruits,2015-07-04 09:51:00,The Way I Want You
The Amazing,2015-07-04 09:47:00,Picture You
The Herd Of Main Street,2015-07-04 09:42:00,Next Weekend
Greensky Bluegrass,2015-07-04 09:38:00,Old Barns
Old Crow Medicine Show,2015-07-04 09:34:00,Wagon Wheel
Mat Kearney,2015-07-04 09:29:00,Nothing Left To Lose
moe.,2015-07-04 09:26:00,New York City
Heartless Bastards,2015-07-04 09:22:00,Gates Of Dawn
T. Hardy Morris,2015-07-04 09:18:00,My Me
Smithereens,2015-07-04 09:14:00,Only A Memory
Corinne Bailey Rae,2015-07-04 09:10:00,The Blackest Lily
Pianos Become the Teeth,2015-07-04 09:07:00,Late Lives
Broken Social Scene,2015-07-04 09:00:00,7-4 Shoreline
Ryan Adams,2015-07-04 08:56:00,Gimme Something Good
The Doughboys,2015-07-04 08:53:00,Shake It Loose
Ryan Bingham,2015-07-04 08:49:00,Radio
James Hunter,2015-07-04 08:43:00,Don't Do Me No Favours
Punch Brothers,2015-07-04 08:39:00,Movement and Location
Neil Young,2015-07-04 08:35:00,Unknown Legend
All Them Witches,2015-07-04 08:29:00,Charles William
Edward Sharpe and the Magnet,2015-07-04 08:26:00,Home
Little Feat,2015-07-04 08:23:00,Rock and Roll Doctor
Father John Misty,2015-07-04 08:20:00,True Affection
The Heavy,2015-07-04 08:16:00,How You Like Me Now?
Raphael Saadiq,2015-07-04 08:14:00,100 Yard Dash
Beck,2015-07-04 08:10:00,Dreams
Tears for Fears,2015-07-04 08:04:00,Break It Down Again
Bobby Long,2015-07-04 08:00:00,Who Have You Been Loving
Jesse Malin,2015-07-04 07:58:00,Addicted
Vampire Weekend,2015-07-04 07:53:00,Giving Up The Gun
James Blake,2015-07-04 07:50:00,Retrograde
My Morning Jacket,2015-07-04 07:46:00,Compound Fracture
Sam Roberts,2015-07-04 07:42:00,Detroit '67
A Band Of Bees,2015-07-04 07:36:00,Chicken Payback
Spoon,2015-07-04 07:32:00,TV Set
Asa,2015-07-04 07:29:00,Be My Man
Rhiannon Giddens,2015-07-04 07:25:00,Black is the Color
Fly Golden Eagle,2015-07-04 07:19:00,Tangible Intangible
Keane,2015-07-04 07:16:00,We Might as Well Be Stranger
Paul Weller,2015-07-04 07:13:00,Saturns Pattern
Blue Merle,2015-07-04 07:09:00,Burning In The Sun
Neutral Milk Hotel,2015-07-04 07:05:00,In the Aeroplane Over The Se
Heartless Bastards,2015-07-04 07:02:00,Gates Of Dawn
Kings of Convenience,2015-07-04 06:58:00,Boat Behind
Meg Mac,2015-07-04 06:55:00,Roll Up Your Sleeves
Steve Winwood,2015-07-04 06:51:00,Valerie
Starsailor,2015-07-04 06:47:00,Fever
Kaleo,2015-07-04 06:42:00,All The Pretty Girls
Kathleen Edwards,2015-07-04 06:39:00,Back To Me
Kyle Andrews,2015-07-04 06:35:00,Sushi
The Decemberists,2015-07-04 06:31:00,The Wrong Year
Warren Zevon,2015-07-04 06:27:00,Werewolves of London
Hamilton Leithauser,2015-07-04 06:23:00,I Don't Need Anyone
Best Coast,2015-07-04 06:20:00,Feeling OK
Neko Case,2015-07-04 06:16:00,John Saw That Number
Indigo Girls,2015-07-04 06:13:00,Happy In The Sorrow Key
The Lone Bellow,2015-07-04 06:08:00,You Never Need Nobody
Eels,2015-07-04 06:04:00,Rock Hard Times
Ryley Walker,2015-07-04 06:00:00,Primrose Green
The War On Drugs,2015-07-04 05:56:00,Baby Missiles
Whitehorse,2015-07-04 05:54:00,Downtown
Hey Marseilles,2015-07-04 05:49:00,Bright Stars Burning
Nada Surf,2015-07-04 05:46:00,All You Need is Love
Marian Hill,2015-07-04 05:42:00,One Time
Phoenix,2015-07-04 05:39:00,1901
DJ Shadow,2015-07-04 05:33:00,What Does Your Soul Look Lik
The Helio Sequence,2015-07-04 05:30:00,Stoic Resemblance
Maktub,2015-07-04 05:26:00,You Can't Hide
Vienna Teng,2015-07-04 05:22:00,Level Up
Galactic,2015-07-04 05:19:00,Into The Deep (ft. Macy Gray
Josh Rouse,2015-07-04 05:15:00,It Looks Like Love
San Fermin,2015-07-04 05:11:00,Emily
Of Monsters and Men,2015-07-04 05:07:00,Little Talks
Frank Black,2015-07-04 05:04:00,(I Want to Live On An) Abstr
Warren Haynes,2015-07-04 05:00:00,Spots Of Time (ft. Railroad
Amos Lee,2015-07-04 04:56:00,Arms of a Woman
Laura Marling,2015-07-04 04:53:00,False Hope
Devendra Banhart,2015-07-04 04:49:00,Lover
Tom Waits,2015-07-04 04:44:00,2-19
Alabama Shakes,2015-07-04 04:40:00,Future People
Blur,2015-07-04 04:37:00,There's No Other Way
Ray Charles,2015-07-04 04:32:00,What I'd Say
Scars On 45,2015-07-04 04:29:00,Take You Home
Urge Overkill,2015-07-04 04:25:00,Sister Havana
St. Paul And The Broken Bone,2015-07-04 04:23:00,Call Me
Father John Misty,2015-07-04 04:20:00,True Affection
Derek Trucks Band,2015-07-04 04:15:00,Don't Miss Me
Courtney Barnett,2015-07-04 04:12:00,Dead Fox
Band of Horses,2015-07-04 04:08:00,No One's Gunna Love You
Amy Winehouse,2015-07-04 04:04:00,Back to Black
My Morning Jacket,2015-07-04 04:01:00,Compound Fracture
Butch Walker,2015-07-04 03:57:00,The Weight of Her
Ivan And Alyosha,2015-07-04 03:54:00,All This Wandering Around
TV on the Radio,2015-07-04 03:50:00,Second Song
Jeff Buckley,2015-07-04 03:46:00,"Mama, You Been On My Mind"
Anderson East,2015-07-04 03:44:00,Satisfy Me
Leon Russell,2015-07-04 03:43:00,Out In The Woods
The Soundtrack Of Our Lives,2015-07-04 03:37:00,Flipside
Saint Motel,2015-07-04 03:33:00,My Type
Sondre Lerche,2015-07-04 03:30:00,Private Caller
Reuben And The Dark,2015-07-04 03:26:00,Devil's Time
Radiohead,2015-07-04 03:17:00,House of Cards
Chris Stamey,2015-07-04 03:14:00,Universe-Sized Arms
Blondie,2015-07-04 03:08:00,Heart Of Glass
James McCartney,2015-07-04 03:05:00,Wisteria
Best Coast,2015-07-04 03:01:00,Feeling OK
Serge Gainsbourg (With Brigi,2015-07-04 02:57:00,Bonnie And Clyde
SOAK,2015-07-04 02:54:00,Sea Creatures
Counting Crows,2015-07-04 02:49:00,Perfect Blue Buildings
Heavy Lights,2015-07-04 02:44:00,Stop Talkin'
Dawes,2015-07-04 02:40:00,Things Happen
Charles Bradley,2015-07-04 02:38:00,No Time For Dreaming
The Maytals,2015-07-04 02:35:00,Sweet and Dandy
Indigo Girls,2015-07-04 02:32:00,Happy In The Sorrow Key
Jarekus Singleton,2015-07-04 02:27:00,I Refuse To Lose
Alternate Routes,2015-07-04 02:24:00,Nobody Else
Elvis Costello,2015-07-04 02:21:00,Accidents Will Happen
Ryley Walker,2015-07-04 02:16:00,Summer Dress
Daniel Lanois,2015-07-04 02:10:00,For the Beauty of Wynona
Marian Hill,2015-07-04 02:06:00,One Time
Michael Franti and Spearhead,2015-07-04 02:02:00,Hey World (Remote Control Ve
Mike Doughty,2015-07-04 01:59:00,Fort Hood
Grace Potter,2015-07-04 01:56:00,Alive Tonight
The Beatles,2015-07-04 01:52:00,Dear Prudence
Wake Owl,2015-07-04 01:48:00,Wild Country
Fly Golden Eagle,2015-07-04 01:43:00,Tangible Intangible
Yuna,2015-07-04 01:40:00,Live Your Life
Ween,2015-07-04 01:35:00,Your Party
Beck,2015-07-04 01:31:00,Dreams
Sons of Fathers,2015-07-04 01:27:00,Sons of Fathers
Angel Olsen,2015-07-04 01:23:00,High and Wild
